Time (min);Value (µRIU)
0;-0,005722
0,001667;-0,005722
0,003333;-0,005722
0,005;-0,005722
0,006667;-0,005722
0,008333;-0,005722
0,01;-0,005722
0,011667;-0,005722
0,013333;-0,005722
0,015;-0,005722
0,016667;-0,005722
0,018333;-0,005722
0,02;-0,005722
0,021667;-0,005722
0,023333;-0,005722
0,025;-0,005722
0,026667;-0,005722
0,028333;-0,005722
0,03;-0,005722
0,031667;-0,005722
0,033333;-0,005722
0,035;-0,005722
0,036667;-0,005722
0,038333;-0,005722
0,04;-0,005722
0,041667;-0,005722
0,043333;-0,005722
0,045;-0,005722
0,046667;-0,005722
0,048333;-0,005722
0,05;-0,005722
0,051667;-0,005722
0,053333;-0,005722
0,055;-0,005722
0,056667;-0,005722
0,058333;-0,005722
0,06;-0,005722
0,061667;-0,005722
0,063333;-0,005722
0,065;-0,005722
0,066667;-0,005722
0,068333;-0,005722
0,07;-0,005722
0,071667;-0,005722
0,073333;-0,005722
0,075;-0,005722
0,076667;-0,005722
0,078333;-0,005722
0,08;-0,005722
0,081667;-0,005722
0,083333;-0,005722
0,085;-0,005722
0,086667;-0,005722
0,088333;-0,005722
0,09;-0,005722
0,091667;-0,005722
0,093333;-0,005722
0,095;-0,005722
0,096667;-0,005722
0,098333;-0,005722
0,1;-0,005722
0,101667;-0,005722
0,103333;-0,005722
0,105;-0,005722
0,106667;-0,005722
0,108333;-0,005722
0,11;-0,005722
0,111667;-0,005722
0,113333;-0,005722
0,115;-0,005722
0,116667;-0,005722
0,118333;-0,005722
0,12;-0,005722
0,121667;-0,005722
0,123333;-0,005722
0,125;-0,005722
0,126667;-0,005722
0,128333;-0,005722
0,13;-0,005722
0,131667;-0,005722
0,133333;-0,005722
0,135;-0,005722
0,136667;-0,005722
0,138333;-0,005722
0,14;-0,005722
0,141667;-0,005722
0,143333;-0,005722
0,145;-0,005722
0,146667;-0,005722
0,148333;-0,005722
0,15;-0,005722
0,151667;-0,005722
0,153333;-0,005722
0,155;-0,005722
0,156667;-0,005722
0,158333;-0,005722
0,16;-0,005722
0,161667;-0,005722
0,163333;-0,005722
0,165;-0,005722
0,166667;-0,005722
0,168333;-0,005722
0,17;-0,005722
0,171667;-0,005722
0,173333;-0,005722
0,175;-0,005722
0,176667;-0,005722
0,178333;-0,005722
0,18;-0,005722
0,181667;-0,005722
0,183333;-0,005722
0,185;-0,005722
0,186667;-0,005722
0,188333;-0,005722
0,19;-0,005722
0,191667;-0,005722
0,193333;-0,005722
0,195;-0,005722
0,196667;-0,005722
0,198333;-0,005722
0,2;-0,005722
0,201667;-0,005722
0,203333;-0,005722
0,205;-0,005722
0,206667;-0,005722
0,208333;-0,005722
0,21;-0,005722
0,211667;-0,005722
