Time (min);Value (µRIU)
0;-0,014305
0,001667;-0,014305
0,003333;-0,014305
0,005;-0,014305
0,006667;-0,014305
0,008333;-0,014305
0,01;-0,014305
0,011667;-0,014305
0,013333;-0,014305
0,015;-0,014305
0,016667;-0,014305
0,018333;-0,014305
0,02;-0,014305
0,021667;-0,014305
0,023333;-0,014305
0,025;-0,014305
0,026667;-0,014305
0,028333;-0,014305
0,03;-0,014305
0,031667;-0,014305
0,033333;-0,014305
0,035;-0,014305
0,036667;-0,014305
0,038333;-0,014305
0,04;-0,014305
0,041667;-0,014305
0,043333;-0,014305
0,045;-0,014305
0,046667;-0,014305
0,048333;-0,014305
0,05;-0,014305
0,051667;-0,014305
0,053333;-0,014305
0,055;-0,014305
0,056667;-0,014305
0,058333;-0,014305
0,06;-0,014305
0,061667;-0,014305
0,063333;-0,014305
0,065;-0,014305
0,066667;-0,014305
0,068333;-0,014305
0,07;-0,014305
0,071667;-0,014305
0,073333;-0,014305
0,075;-0,014305
0,076667;-0,014305
0,078333;-0,014305
0,08;-0,014305
0,081667;-0,014305
0,083333;-0,017166
0,085;-0,017166
0,086667;-0,017166
0,088333;-0,017166
0,09;-0,017166
0,091667;-0,017166
0,093333;-0,017166
0,095;-0,017166
0,096667;-0,017166
0,098333;-0,017166
0,1;-0,017166
0,101667;-0,017166
0,103333;-0,017166
0,105;-0,017166
0,106667;-0,017166
0,108333;-0,017166
0,11;-0,017166
0,111667;-0,017166
0,113333;-0,017166
0,115;-0,017166
0,116667;-0,017166
0,118333;-0,017166
0,12;-0,017166
0,121667;-0,017166
0,123333;-0,017166
0,125;-0,017166
0,126667;-0,017166
0,128333;-0,017166
0,13;-0,017166
0,131667;-0,017166
0,133333;-0,017166
0,135;-0,017166
0,136667;-0,017166
0,138333;-0,017166
0,14;-0,017166
0,141667;-0,017166
0,143333;-0,020027
0,145;-0,020027
0,146667;-0,020027
0,148333;-0,020027
0,15;-0,020027
0,151667;-0,020027
0,153333;-0,020027
0,155;-0,020027
0,156667;-0,020027
0,158333;-0,020027
0,16;-0,020027
0,161667;-0,020027
0,163333;-0,020027
0,165;-0,020027
0,166667;-0,020027
0,168333;-0,020027
0,17;-0,020027
0,171667;-0,020027
0,173333;-0,020027
0,175;-0,020027
0,176667;-0,020027
0,178333;-0,020027
0,18;-0,020027
0,181667;-0,020027
0,183333;-0,020027
0,185;-0,020027
0,186667;-0,020027
0,188333;-0,020027
0,19;-0,020027
0,191667;-0,020027
0,193333;-0,022888
0,195;-0,022888
0,196667;-0,022888
0,198333;-0,022888
0,2;-0,022888
0,201667;-0,022888
0,203333;-0,022888
0,205;-0,022888
0,206667;-0,022888
0,208333;-0,022888
0,21;-0,022888
0,211667;-0,022888
0,213333;-0,022888
0,215;-0,022888
0,216667;-0,022888
0,218333;-0,022888
0,22;-0,022888
0,221667;-0,022888
0,223333;-0,022888
0,225;-0,022888
0,226667;-0,022888
0,228333;-0,022888
0,23;-0,022888
0,231667;-0,022888
0,233333;-0,022888
0,235;-0,022888
0,236667;-0,022888
0,238333;-0,022888
0,24;-0,022888
0,241667;-0,022888
0,243333;-0,022888
0,245;-0,022888
0,246667;-0,022888
0,248333;-0,022888
0,25;-0,022888
0,251667;-0,022888
0,253333;-0,022888
0,255;-0,022888
0,256667;-0,022888
0,258333;-0,022888
0,26;-0,022888
0,261667;-0,022888
0,263333;-0,022888
0,265;-0,022888
0,266667;-0,022888
0,268333;-0,022888
0,27;-0,022888
0,271667;-0,022888
0,273333;-0,022888
0,275;-0,022888
0,276667;-0,022888
0,278333;-0,022888
0,28;-0,022888
0,281667;-0,022888
0,283333;-0,022888
0,285;-0,022888
0,286667;-0,022888
0,288333;-0,022888
0,29;-0,022888
0,291667;-0,022888
0,293333;-0,022888
0,295;-0,022888
0,296667;-0,025749
0,298333;-0,025749
0,3;-0,025749
0,301667;-0,025749
0,303333;-0,025749
0,305;-0,025749
0,306667;-0,025749
0,308333;-0,025749
0,31;-0,025749
0,311667;-0,025749
0,313333;-0,025749
0,315;-0,025749
0,316667;-0,025749
0,318333;-0,025749
0,32;-0,025749
0,321667;-0,022888
0,323333;-0,022888
0,325;-0,022888
0,326667;-0,022888
0,328333;-0,022888
0,33;-0,022888
0,331667;-0,022888
0,333333;-0,022888
0,335;-0,022888
0,336667;-0,022888
0,338333;-0,025749
0,34;-0,025749
0,341667;-0,025749
0,343333;-0,025749
0,345;-0,025749
0,346667;-0,025749
0,348333;-0,025749
0,35;-0,025749
0,351667;-0,025749
0,353333;-0,025749
0,355;-0,025749
0,356667;-0,025749
0,358333;-0,025749
0,36;-0,025749
0,361667;-0,025749
0,363333;-0,025749
0,365;-0,025749
0,366667;-0,025749
0,368333;-0,025749
0,37;-0,025749
0,371667;-0,025749
0,373333;-0,025749
0,375;-0,025749
0,376667;-0,025749
0,378333;-0,025749
0,38;-0,025749
0,381667;-0,025749
0,383333;-0,025749
0,385;-0,025749
0,386667;-0,025749
0,388333;-0,025749
0,39;-0,025749
0,391667;-0,025749
0,393333;-0,025749
0,395;-0,025749
0,396667;-0,025749
0,398333;-0,025749
0,4;-0,025749
0,401667;-0,025749
0,403333;-0,025749
0,405;-0,025749
0,406667;-0,025749
0,408333;-0,025749
0,41;-0,025749
0,411667;-0,025749
0,413333;-0,025749
0,415;-0,025749
0,416667;-0,025749
0,418333;-0,025749
0,42;-0,025749
0,421667;-0,025749
0,423333;-0,025749
0,425;-0,025749
0,426667;-0,025749
0,428333;-0,025749
0,43;-0,025749
0,431667;-0,025749
0,433333;-0,02861
0,435;-0,02861
0,436667;-0,02861
0,438333;-0,02861
0,44;-0,02861
0,441667;-0,02861
0,443333;-0,02861
0,445;-0,02861
0,446667;-0,02861
0,448333;-0,02861
0,45;-0,02861
0,451667;-0,02861
0,453333;-0,02861
0,455;-0,02861
0,456667;-0,02861
0,458333;-0,02861
0,46;-0,02861
0,461667;-0,02861
0,463333;-0,02861
0,465;-0,02861
0,466667;-0,02861
0,468333;-0,02861
0,47;-0,02861
0,471667;-0,02861
0,473333;-0,02861
0,475;-0,02861
0,476667;-0,02861
0,478333;-0,02861
0,48;-0,02861
0,481667;-0,02861
0,483333;-0,02861
0,485;-0,02861
0,486667;-0,02861
0,488333;-0,02861
0,49;-0,02861
0,491667;-0,02861
0,493333;-0,02861
0,495;-0,02861
0,496667;-0,02861
0,498333;-0,02861
0,5;-0,02861
0,501667;-0,02861
0,503333;-0,02861
0,505;-0,02861
0,506667;-0,02861
0,508333;-0,02861
0,51;-0,02861
0,511667;-0,02861
0,513333;-0,02861
0,515;-0,02861
0,516667;-0,02861
0,518333;-0,02861
0,52;-0,02861
0,521667;-0,02861
0,523333;-0,02861
0,525;-0,02861
0,526667;-0,02861
0,528333;-0,02861
0,53;-0,02861
0,531667;-0,02861
0,533333;-0,02861
0,535;-0,02861
