x,Meas
-10.0,1.809350416740809e-14
-9.97997997997998,3.5815310337030735e-14
-9.95995995995996,4.8153688116822526e-14
-9.93993993993994,3.574997942659926e-14
-9.91991991991992,5.659267238571599e-14
-9.8998998998999,9.001211704958704e-14
-9.87987987987988,1.9155183241493662e-13
-9.85985985985986,2.6213093539399416e-14
-9.83983983983984,1.4664276670682822e-13
-9.81981981981982,2.697242502670615e-13
-9.7997997997998,3.5049921035302966e-14
-9.77977977977978,1.6003090377835505e-14
-9.75975975975976,8.911230261503697e-14
-9.73973973973974,7.025987123909843e-14
-9.71971971971972,5.470725223303255e-13
-9.6996996996997,1.5875883860187085e-13
-9.67967967967968,2.9214188101020444e-13
-9.65965965965966,5.571603631890637e-14
-9.63963963963964,7.47396748804286e-13
-9.61961961961962,7.883926582168486e-14
-9.5995995995996,7.275977980505162e-13
-9.57957957957958,8.135764848127979e-13
-9.55955955955956,6.298521300225422e-13
-9.53953953953954,1.8017393816884637e-12
-9.51951951951952,2.040534442009498e-12
-9.4994994994995,1.2643557085562587e-12
-9.47947947947948,2.469910004960788e-13
-9.45945945945946,2.2258825766021027e-12
-9.43943943943944,1.846088329067087e-12
-9.41941941941942,1.6946287809874163e-12
-9.3993993993994,3.120158430610111e-12
-9.37937937937938,3.820560719166122e-12
-9.35935935935936,4.95567027965227e-13
-9.33933933933934,1.843447365823266e-12
-9.31931931931932,1.0534089814044195e-12
-9.2992992992993,6.2300600593462045e-12
-9.27927927927928,6.462201171435027e-12
-9.25925925925926,4.5451371225527495e-12
-9.23923923923924,4.0452261289491455e-12
-9.21921921921922,4.193873126150791e-12
-9.1991991991992,7.873214814173603e-12
-9.17917917917918,1.3077676276073022e-11
-9.15915915915916,1.2471844022548158e-11
-9.13913913913914,2.3443094908259065e-13
-9.11911911911912,1.5730117314370722e-11
-9.0990990990991,1.1289649221925713e-11
-9.07907907907908,2.0886123468871936e-11
-9.05905905905906,2.3573084482431032e-11
-9.03903903903904,1.3248128789543829e-12
-9.01901901901902,3.1686028330653414e-11
-8.998998998999,3.535311660905861e-11
-8.97897897897898,1.6530647557484004e-11
-8.95895895895896,1.404365254321601e-11
-8.93893893893894,1.3449288609962097e-11
-8.91891891891892,6.499831557236319e-11
-8.8988988988989,7.007806406356244e-11
-8.87887887887888,1.5550095261415463e-11
-8.85885885885886,3.5978728652040567e-11
-8.83883883883884,1.0588088827262024e-10
-8.81881881881882,4.002652216371985e-11
-8.7987987987988,1.5928656450730363e-11
-8.77877877877878,2.238393320814481e-12
-8.75875875875876,1.0859592151742376e-10
-8.73873873873874,5.874591432435432e-12
-8.71871871871872,1.4656201164876816e-10
-8.6986986986987,1.4872337951289618e-10
-8.67867867867868,2.74859646423535e-10
-8.65865865865866,2.8280969388585664e-10
-8.63863863863864,1.7590000343172325e-11
-8.618618618618619,6.873578870277828e-11
-8.598598598598599,3.4866273409165963e-10
-8.578578578578579,2.7891924367070365e-10
-8.558558558558559,4.721068886001665e-10
-8.538538538538539,3.266191624640366e-10
-8.518518518518519,5.747553704348741e-10
-8.498498498498499,4.445693994891148e-10
-8.478478478478479,5.372626395346662e-10
-8.458458458458459,1.0107596216430192e-09
-8.438438438438439,2.0544640990638415e-10
-8.418418418418419,4.3364508055973585e-10
-8.398398398398399,7.255575622523022e-10
-8.378378378378379,3.5231475219924046e-10
-8.358358358358359,2.8248675354931917e-10
-8.338338338338339,1.7399840723971038e-09
